presently,adv 目前；现在；此时
emotional,adj 情感上的；情绪上的 adj 激起强烈感情的
crash,noun 撞车；碰撞；相撞 verb （使）碰撞；（使）撞毁 verb （生意或金融体制）倒闭，破产，失败
sightseeing,noun 游览；观光；旅游
excursion,noun 短途旅行；远足
awkward,adj 使人尴尬的；棘手的；笨拙的 adj 害羞的；尴尬的；局促不安的
employment,noun 就业 ；工作
trade,noun 贸易；买卖；交易 verb 做买卖；做生意；从事贸易 verb 用…进行交换；互相交换
suck,verb 吸取；抽取 verb 将…卷入
clue,noun 线索；提示
hostel,noun （通常由当地政府或慈善团体开办的）廉价招待所，临时收容所
capture,verb 俘虏，擒获 verb 吸引:夺得；获得
zone,noun 地区，地带，区域
embrace,verb 抱；拥抱 verb 欣然接受，支持（变革、政治体制、观点等） noun 拥抱
solo,adj 独自进行的
nest,noun 巢，穴
browse,verb （在商店里）随便看 verb 浏览；翻阅
craft,noun 行业；手艺；工艺 verb 精心制作；周密制订
blog,noun 博客；部落格；网络日志
version,noun 变化形式；变体；版本
cable,noun 电缆；电线 noun 有线电视
