reserve,verb 保留； 预订； 预约
celebrity,noun 名人，明星，名流
conspicuous,adj 显眼的；引人注目的
mansion,noun 宅邸；大厦；富丽堂皇的房子
reasonable,adj 理智的，合理的
necessity,noun 必然；必要；需要 noun 必需品
survey,noun 调查；民意调查 verb 调查…；对...进行民意测验 verb 测量；勘测；测绘
entitle,verb 给予…权利；给予…资格 verb 给...命名；给…题名
luxury,noun 奢侈 noun 奢侈品 adj 奢侈的
justify,verb 证明...正当；表明…必要
cosmetic,noun 化妆品； 美容品
surgery,noun 外科手术
appliance,noun 电器，器械，装置 noun 使用，应用
item,noun （系列物品或清单中的）一件
qualify,verb  取得资格，达到标准
popularity,noun 受欢迎；普及；流行
category,noun 种类；类别
excessive,adj 过分的；过多的
favor,noun 帮助，好事，恩惠 verb 较喜欢，偏爱；选择 noun 赞同，支持；喜爱
instant,noun 瞬息；顷刻；刹那 noun （某一）时刻 adj 立即的；即刻的
barely,adv 勉强；仅仅
statistics,noun 统计数字
bankruptcy,noun 破产；倒闭
file,noun 档案；卷宗；文件 verb 备案；提交
grim,adj 严峻的；令人不快的； 阴森的 adj 严肃的；坚定的；沉重的
cite,verb （尤指作为例证）引用，援引，提及
obvious,adj 明显的；显然的；无疑的
affluence,noun 富裕；富足
fund,noun 资金，钱款；基金 verb 资助；为…提供资金
maximize,verb  充分利用（或重视）； 使...最大化
trim,verb 修剪；剪 verb 削减；缩减
priority,noun 优先事项；最重要的事；当务之急
stash,verb 存放，储藏，藏匿（贵重物品）
