inherit,verb 继承（金钱或财产） verb 经遗传获得（特征、特质等）
award,noun 奖；奖品；奖励 verb 授予；颁发
release,verb 释放；放开 noun 释放； 解除 verb 发布；发表；发行 noun 新发行的影片； 发布的新闻
considerable,adj 相当多的；相当大的
affluent,adj 富裕的，丰富的
heir,noun 继承人
asset,noun 有用的物（或人）；财富 noun 资产；财产
finance,verb 给…提供资金；资助 noun 财政；金融 noun 财力；财务状况
preface,noun （书的）序言，前言，绪论 verb 以…为开端；以…作为开场白
instill,verb <美>逐渐使某人获得 ，逐步灌输
stir,verb 搅动；搅拌；搅和 noun 轰动；骚动；骚乱
critic,noun 批评家；评论家；评论员 noun 批评者；反对者
offspring,noun 子女；后代；崽
circumstance,noun 情况；情形；形势 noun 生活状况；境况；（尤指）经济状况
passionate,adj 热情的；狂热的
privilege,noun 特权；优惠 noun 荣幸；荣耀 verb 给予特权
score,verb （考试等中）得（分） noun （考试或比赛中的）得分，成绩 verb 为（音乐作品）编写总谱 QUANT 许多；大量
compose,verb 组成；构成 verb 创作，写
leadership,noun 领导；领导权；领导地位 noun 领导才能；领导方法
enterprise,noun （常指小型）企业，公司
steady,adj 稳定的；牢固的
currency,noun 通货；货币
reward,noun 奖励；奖赏；回报 verb 奖赏；酬谢；回报
