strive,verb 努力；奋斗；力争；力求
content,noun （书、演讲、电视节目等的）内容 adj 满足的；知足的
derive,verb 获得；取得；得到 verb （使）起源于；（使）来自
vanish,verb 消失；失踪；突然不见
episode,noun 插曲；事件；时期 noun  一集； 一节
core,noun 果心；核儿；中心部分 noun  核心，要点
assessment,noun 评估；评定；鉴定 noun 估价
perceive,verb 注意到，察觉，意识到（尤指不明显之物） verb 看作；视为；认为
vicious,adj 恶毒的；恶意的；不怀好意的
cycle,verb 骑（自行车） noun 循环；周期
guilt,noun 内疚；悔恨；负罪感 noun 犯罪；罪行；有罪
cultural,adj 文化的；与文化有关的
meaningless,adj  意思不明确的， 没有意义的 adj 无目的的；无价值的
attribute,verb 把…归因于；把…归咎于 noun （人或物的）品质，特征
advocate,verb 拥护；提倡 noun 拥护者；提倡者
ultimately,adv 最终；最后；终于 adv 根本上；归根结底
miserable,adj 苦恼的；痛苦的 adj  令人难受的，令人抑郁的
debt,noun 债务；欠款 noun 负债（状态）
contentment,noun 满意；满足；知足
