negotiation,noun 谈判，协商，磋商
surround,verb 围绕； 包围；与...相关
presence,noun 出席；到场 noun 驻扎，进驻
extreme,adj 极其的；极度的 adj 极端的；极限的 noun 极端；完全相反的事物
prominent,adj 重要的；杰出的；显著的
primary,adj 首要的；主要的 adj 初级的，初等的，小学的
sacrifice,verb 牺牲；舍弃；献出 noun 牺牲
bonus,noun 奖金；津贴；分红
occasional,adj 偶尔的；间或的；有时发生的
devotion,noun  深爱，挚爱；忠诚 noun 献身；奉献
household,noun 家庭；一家人；家务
grateful,adj 感激的；表示感谢的
phase,noun 阶段；时期
expectation,noun 期望；希望
incense,verb 使愤怒；激怒
apparent,adj 明显的；显而易见的
aspect,noun 方面；形态；特性
burden,noun 负担；重负
maintain,verb 维持；保持 verb 维修；保养
parenting,noun 育儿；养育子女
relieve,verb 缓解，减轻，解除，使得到解脱
responsibility,noun 责任；义务
preference,noun 喜好；偏好；偏爱
equivalent,noun 等同物；对应物 adj 等价的；相等的；相同的
sole,adj 唯一的；仅有的
heritage,noun （国家的）遗产，传统
adopt,verb 采纳；采用，保持 verb 收养
dine,verb 进餐；用餐；吃饭
sparkle,verb 闪闪发光；闪耀 noun 闪光点；亮点
