recession,noun 经济衰退；经济不景气
calling,noun 行业；职业
shovel,verb 铲；铲起；用铲挖
scholar,noun 学者
bud,noun 芽；苞；花蕾
myth,noun 神话 noun 错误的看法；谎言
predictable,adj 可预测的；可预料的
optional,adj 可选择的；非强制的
prolong,verb 延长；拉长；拖长
maturity,noun 成熟；长大成人
organism,noun 生物；有机体；微生物
universal,adj 普遍的；宇宙的；全世界的
expand,verb 扩大；增加；扩展
establishment,noun 成立；建立；创立 noun 权威；当权者；权势集团
correspond,verb 相类似；相关；相对应 verb 与...通信
modification,noun 修正，修改
criterion,noun （判定的）标准，准则
rank,noun 等级；地位 verb 给…评级；排名；排列
legislate,verb 立法
norm,noun 行为准则；规范
bearing,noun 与…有关；对…有影响
stroke,verb 轻抚；抚摩 noun （铅笔、刷子的）一笔，一挥，笔画 noun 一下子；一举
irregular,adj 不规则的；不平整的
