breed,verb 产生；引起；酿成 noun 类型；种类
positive,adj 有信心的；积极的
independent,adj  独立的； 自立的 adj （国家或组织））独立的
option,noun 可选择的事物； 选择
exceed,verb 超越，超出
enrollment,noun 入学
emerging,adj 新兴的，形成的
typical,adj 典型的，有代表性的，惯常的
interview,verb 对…进行面试 noun 采访；访谈 verb 采访；访谈
identify,verb 认出；识别；辨认
identity,noun 身份；本体
obligation,noun 义务；责任
carve,verb 雕；刻 verb 开创（事业）；赢得（工作）
adolescence,noun 青春期
optimistic,adj 乐观的
financial,adj 财政的；金融的；财务的
fascinating,adj 迷人的； 极有吸引力的
internship,noun 实习岗位；实习期
drift,verb 飘移；漂流；移动
anticipate,verb 预期；预料；预计
delicate,adj 微妙的；棘手的
stable,adj 稳定的；稳固的
ease,verb （使）（程度、速度、强度等）减少；（使）降低
anxiety,noun 忧虑；不安
appetite,noun 胃口；食欲 noun 强烈欲望；渴望
