skip,verb 不做，不参加（常做或大多人都做的事） verb 略过；跳过
reservation,noun 预订；预约 noun 保留地；居留地
inspire,verb 激励；鼓舞；启发
flit,verb 辗转；穿梭 verb （在不同情况间）转变，转换 verb 飞过；掠过；闪过
resemble,verb 类似；与…相似
transmit,verb 传送；传递；播送
modify,verb 修改；变更；改进 verb 修饰；限定
chip,noun 炸薯条 noun 芯片 noun 碎片；碎屑；碎块 verb 削掉，凿落（碎片）；剥落
shuttle,noun  航天飞机 noun 航班，班车 verb 频繁往来于；往返
tag,noun 标签；标牌 verb 给…贴标签；在…上做记号
stream,noun 小河；溪 noun 股；车流；人流
dilemma,noun （进退两难的）窘境，困境
agenda,noun （政治）议题 noun 议事日程
apt,adj 合适的，恰当的，贴切的 adj 易于…的；有…倾向的
optimize,verb 使最优化；使最有效率；使尽可能完善 verb 充分利用
fiddle,verb 摆弄；拨弄 verb 篡改，伪造（财务记录） noun 欺诈；诈骗
interaction,noun  合作； 互相影响； 互动
transaction,noun （一笔）交易；业务
pinpoint,verb 确认；准确解释（或说明） verb 精确地确定（或指明）…的位置
myriad,QUANT 无数；大量；各种各样 adj 无数的；大量的；各种各样的
stitch,verb 缝；绣；缝补 noun （布料上的）针脚，线迹
coupon,noun （购物的）赠券，优惠券 noun （剪自报刊的）订货单，参赛表
