originate,verb 发源；产生；创始
essential,adj 绝对必要的； 基本的 adj 基本的；本质的
opponent,noun 对手；竞争者 noun 反对者
territory,noun 领土；领地
intuition,noun 直觉
intellectual,adj 智力的；脑力的；理智的 noun 知识分子；脑力劳动者
imagination,noun 想象；想象力
profound,adj 深刻的；强烈的；巨大的 adj 深刻的；深奥的；知识渊博的
artificial,adj 人造的；非自然形成的
intelligence,noun 才智；智力；智能
invent,verb 发明；创造；首创 verb 编造；捏造；虚构
flexible,adj 易变通的； 灵活的，易弯曲的
tackle,verb 应对，处理，解决
champion,noun 冠军 noun 支持者；拥护者；捍卫者
raw,adj 未经加工的；天然状态的
intellect,noun 智力；领悟力；思维能力
construct,verb 建设；建造 verb 构想，构筑，构思
crack,verb 打破；砸开；砸碎 verb 找到解决办法，破译 noun 缝隙；狭缝；窄缝
process,noun 过程；进程 verb 加工；处理
layer,noun 层 noun 层次；阶层；等级
select,verb 选择；挑选；选拔 adj 精选的；作为…精华的；优等的
strategy,noun 战略，策略
adjust,verb 适应；习惯 verb 调整；调节
extensive,adj 广泛的； 全面的；数量大的
tournament,noun 锦标赛
forefront,noun 显著地位；重要位置；最前沿
reign,verb 称王；支配；主宰 verb 最佳；最为重要的
tough,adj 坚强的；坚韧的 adj 艰难的；困难的；不幸的 adj 强硬的，严厉的
analysis,noun 细察；分析
accelerate,verb （使）加快；（使）增速
fruitful,adj 富有成效的；有收获的
breakthrough,noun 突破；重大进展
