sheer,adj 纯粹的，完全的，十足的
definition,noun 定义，释义
defy,verb 违抗；挑战
conventional,adj 传统的；符合习俗的
mindset,noun 思维模式；思想倾向
limb,noun 肢；臂；腿
partial,adj 部分的；不完全的 adj 喜欢的；偏爱的
portion,noun 部分 noun （饭菜的）一份，一客
limitation,noun 限制；控制 noun  局限；无能力，缺陷
compete,verb 竞争，争夺，参赛
sprint,verb 全速奔跑；（短距离）冲刺
dash,verb 飞奔；猛冲
distinction,noun 分别；差别；不同 noun 卓越；杰出；优秀
excel,verb 突出；擅长；胜过（他人）
clearance,noun （官方的）批准，许可
diplomacy,noun 外交
feature,noun 特征；特点；特色 noun 面容；五官 noun 特写，专题， 特别节目
excellence,noun 优秀；卓越；杰出
icon,noun 偶像；代表人物 noun 图标
heel,noun 足跟；脚后跟；踵
gorgeous,adj 性感的；漂亮的
