site,noun 场地；场所；遗址 noun 同 website
responsible,adj 负有责任的；应承担责任的
exclusive,adj 独用的；独有的 adj 相互排斥的；互不相容的
favor,noun 帮助，好事，恩惠 verb 较喜欢，偏爱；选择 noun 赞同，支持；喜爱
abandon,verb 抛弃；放弃
plot,verb 计划；制订；策划 noun 一小块地
stagger,verb 蹒跚；摇晃地走 verb 使震惊；让…大吃一惊
file,noun 档案；卷宗；文件 verb 备案；提交
federal,adj 联邦的；联邦制的
commission,verb 正式委托；委托（做） noun 佣金；回扣 noun 委员会；调查团
inadequate,adj 不充分的；不足的；不够好的
stumble,verb 绊脚； 踉跄；步履蹒跚
substance,noun 物质；东西
reference,noun 提及；谈到 noun 咨询；参考；查阅 noun 介绍信；推荐信
document,noun 文件；公文；文献 verb 记录，记载（详情）
purchase,verb 买；购买 noun 购买行为；购置物
classify,verb 把…分类；为…归类
recommendation,noun 建议；提议；劝告 noun 推荐；介绍
dispose,verb 处理
facility,noun 设施 noun 熟练、灵巧、技巧
flush,verb 把…冲下（抽水马桶）
settle,verb 解决，结束（争端、纠纷） verb 在…定居；使定居；把…安置在 verb （使）缓慢沉落；（使）逐渐下陷
disclose,verb 揭露；泄露；使公开
annual,adj 一年一次的；每年的
profit,noun 利润；收益；盈利 verb 盈利；得利于
brief,adj 简短的；短暂的 noun 简报；摘要
draft,noun 草稿；草案；草图 verb 起草；草拟
regulate,verb 管理，调整，控制
court,noun 法院；法庭；审判庭 noun 球场
deny,verb 否认；否认与…有关系 verb 拒绝给予；拒绝…的要求
settlement,noun （争议双方的）正式协议，和解 noun 定居点；聚居地
accuse,verb 指责；责难 verb 指控；控告
conceal,verb 隐瞒；掩饰
violation,noun 违犯；妨碍
trial,noun 审讯；审理；审判 noun 试验；试用；试用期
represent,verb 代理，代表 verb 代表着，象征，体现
